# fruit-tree-v0 [R] - empirically searched commands delivered FAITHFULLY within 1%
# criterion: ||(desired_command - achieved_return) / objective_range||_2 <= 0.01; horizon excluded
# protocol: greedy singleton verification on cuda, reset seed 0, clip(rem - r, None, max_return)
# search: 1125 batched CPU discovery rollouts / 6750 env steps; 206 singleton CUDA archive rollouts / 1236 env steps
# archive: 206 normally ended valid commands, 64 unique achieved outcomes; unfaithful outcomes included in dominance audit
# final: 64 unique rows, each reparsed then rerun twice (128 rollouts / 768 env steps); worst normalized error 0
# achieved column is exactly non-dominated (maximisation) against the complete singleton search archive
# checkpoint_sha256: c9af256fb6231867acfa78623c575b64875f29bec50268356bd6bfc4a1368a2a
# desired_command_0,desired_command_1,desired_command_2,desired_command_3,desired_command_4,desired_command_5,achieved_return_0,achieved_return_1,achieved_return_2,achieved_return_3,achieved_return_4,achieved_return_5
0.19537027,2.3433366,6.6265383,2.8424768,1.7145636,6.2880993,0.19537027,2.3433366,6.6265383,2.8424768,1.7145636,6.2880993
0.24871352,3.2594683,3.9988046,6.9335194,4.815561,1.4353569,0.24871352,3.2594683,3.9988046,6.9335194,4.815561,1.4353569
0.2674504,3.5443583,4.3908877,0.5898826,7.7984233,2.6311092,0.2674504,3.5443583,4.3908877,0.5898826,7.7984233,2.6311092
0.29748324,8.229653,0.07526586,1.9839557,1.7785313,5.007933,0.29748324,8.229653,0.07526586,1.9839557,1.7785313,5.007933
0.4332075,1.2464095,5.6313906,1.6267079,4.588713,6.545515,0.4332075,1.2464095,5.6313906,1.6267079,4.588713,6.545515
0.46075946,5.2908473,7.9280415,2.2844849,1.0111586,1.6430097,0.46075946,5.2908473,7.9280415,2.2844849,1.0111586,1.6430097
0.5844333,4.280598,7.002379,2.5144854,4.3232317,2.6997476,0.5844333,4.280598,7.002379,2.5144854,4.3232317,2.6997476
0.6388873,0.28507462,4.8785744,6.4197164,5.8571186,0.43757382,0.6388873,0.28507462,4.8785744,6.4197164,5.8571186,0.43757382
0.7162321,3.112415,1.7018771,7.5029664,5.3882303,1.2553761,0.7162321,3.112415,1.7018771,7.5029664,5.3882303,1.2553761
0.7487018,2.518045,6.5994945,2.1479452,6.050849,2.88429,0.7487018,2.518045,6.5994945,2.1479452,6.050849,2.88429
0.792852,4.0058627,0.3631475,8.934477,1.8204172,0.2318847,0.792852,4.0058627,0.3631475,8.934477,1.8204172,0.2318847
0.9368957,0.7792485,2.8389645,1.9829456,8.459588,3.8676312,0.9368957,0.7792485,2.8389645,1.9829456,8.459588,3.8676312
1.0512831,4.8597918,3.2855282,6.2692146,3.3986354,3.6917148,1.0512831,4.8597918,3.2855282,6.2692146,3.3986354,3.6917148
1.1228198,2.7305992,0.32294676,2.8423703,1.6831216,8.959176,1.1228198,2.7305992,0.32294676,2.8423703,1.6831216,8.959176
1.1443129,4.5559483,4.124739,5.8022194,1.921471,4.854133,1.1443129,4.5559483,4.124739,5.8022194,1.921471,4.854133
1.2572061,0.74301296,1.3374366,8.30598,5.0839405,1.1148452,1.2572061,0.74301296,1.3374366,8.30598,5.0839405,1.1148452
1.3365134,4.769693,0.64008087,6.4826245,5.6453805,1.0767136,1.3365134,4.769693,0.64008087,6.4826245,5.6453805,1.0767136
1.4046817,5.1910253,6.721106,4.7566614,0.91486716,1.5633448,1.4046817,5.1910253,6.721106,4.7566614,0.91486716,1.5633448
1.6351068,3.2590642,0.37991887,7.0269423,2.534698,5.5459876,1.6351068,3.2590642,0.37991887,7.0269423,2.534698,5.5459876
1.6511683,3.720632,5.6395316,0.25461897,6.357208,3.3387573,1.6511683,3.720632,5.6395316,0.25461897,6.357208,3.3387573
1.7424109,2.3232038,9.1749,2.282111,1.4751593,0.06168781,1.7424109,2.3232038,9.1749,2.282111,1.4751593,0.06168781
2.1226835,0.64607954,6.4309335,0.7385426,6.9448433,2.22342,2.1226835,0.64607954,6.4309335,0.7385426,6.9448433,2.22342
