# mo-mountaincar-timespeed-v0 [R] - commands verified faithful within 1%
# criterion: ||(desired_command - achieved_return) / objective_range||_2 <= 0.01
# protocol: deterministic greedy argmax with current action masks, reset seed 0, float32 rewards, clip(rem - r, None, max_return)
# domain: issued return command is inside the current ref_point/max_return bounds
# deep search: 3466 fresh valid-domain rollouts, 550546 environment steps; artifacts + direct commands + line projection + inverse local search + fixed-point closure + random/local exploration + scalarized dominance challenge
# archive: 1832 unique valid normal-end outcomes; saved achieved returns are exact maximization-nondominated against the entire discovered archive
# verification: every serialized saved command was freshly rerun twice (110 verification rollouts, 15622 steps; 0 preliminary candidates dropped); max saved normalized error 0.00906859286
# desired_command_0,desired_command_1,achieved_return_0,achieved_return_1
-200,79.79974,-199,79.570694
-198.52466,78.829056,-198,78.852
-170.96709,74.0606,-170,73.93729
-170.45882,74.43122,-169,73.8573
-168.12474,74.08108,-167,73.49099
-166,72.8216,-166,73.18736
-166.26549,73.464584,-165,73.1162
-164,72.34752,-164,72.74743
-164.62006,73.24831,-163,72.67396
-163,72.5086,-162,72.34244
-161.32098,72.120766,-161,72.28819
-160.98512,72.24107,-160,72.15152
-159.091,71.5909,-159,72.010826
-158.52275,71.6727,-158,71.82093
-157,71.14809,-157,71.60853
-156,70.904686,-156,71.36218
-155,70.67655,-155,71.08392
-154.60335,71.39604,-154,70.59123
-153.4155,70.13434,-153,70.44944
-152,69.55719,-152,70.08624
-151.51982,70.262375,-151,69.58562
-150.5181,69.6973,-150,69.201805
-149.25,68.96956,-149,69.03229
-148.54439,69.34397,-148,68.48834
-147.75095,67.96495,-147,68.05744
-146.5,67.733185,-146,67.7026
-145.71971,68.22492,-145,67.14364
-144.25,66.75528,-144,66.699005
-144,67.71243,-143,66.12364
-142.26099,65.66817,-142,65.591385
-141.25,65.08826,-141,65.044525
-139.68394,65.13588,-139,63.76081
-139,63.706497,-138,63.09728
-138,63.08268,-137,62.40517
-136.2537,62.661427,-136,61.667503
-135,61.615616,-135,60.898056
-133.5,60.803825,-134,60.072456
-133.35129,58.90011,-132,58.302162
-131.3513,57.59379,-131,57.327114
-129.35133,56.396645,-130,56.13776
-129,54.91421,-129,54.91421
-128,53.619923,-128,53.619923
-127,51.99779,-127,51.99779
-110.746,39.828014,-111,38.10019
-109.65657,39.477898,-110,37.687996
-109.51832,38.198105,-109,37.322052
-108.27733,38.317944,-108,36.84578
-107.89311,36.7293,-107,36.358147
-107,36.3057,-106,35.809017
-105.36839,36.355774,-105,35.232674
-104.963615,35.59946,-104,34.632042
-103.20466,34.93308,-103,33.87145
-101.94713,33.66105,-102,33.082043
-101,32.17022,-101,32.072334
-100,31.234322,-100,31.004745
