# walkroom3 [R] - empirically searched commands delivered FAITHFULLY within 1%
# criterion: ||(desired_command - achieved_return) / objective_range||_2 <= 0.01; horizon excluded
# protocol: greedy singleton verification on cuda, reset seed 0, clip(rem - r, None, max_return)
# search: 68 batched CPU discovery rollouts / 1200 env steps; 68 singleton CUDA archive rollouts / 1200 env steps
# archive: 68 normally ended valid commands, 68 unique achieved outcomes; unfaithful outcomes included in dominance audit
# final: 68 unique rows, each reparsed then rerun twice (136 rollouts / 2400 env steps); worst normalized error 0
# achieved column is exactly non-dominated (maximisation) against the complete singleton search archive
# checkpoint_sha256: 7192c4131bba355c251329a586ed0b774f56716cf454c849a3f1e366952ac5de
# desired_command_0,desired_command_1,desired_command_2,achieved_return_0,achieved_return_1,achieved_return_2
-18,-1,0,-18,-1,0
-17,-2,0,-17,-2,0
-17,-1,-1,-17,-1,-1
-16,-3,0,-16,-3,0
-15,-2,-1,-15,-2,-1
-15,0,-2,-15,0,-2
-12,-4,0,-12,-4,0
-12,-2,-3,-12,-2,-3
-12,0,-4,-12,0,-4
-11,-5,0,-11,-5,0
-11,-3,-4,-11,-3,-4
-11,0,-8,-11,0,-8
-10,-3,-5,-10,-3,-5
-10,-1,-9,-10,-1,-9
-9,-7,0,-9,-7,0
-9,-2,-7,-9,-2,-7
-8,-8,0,-8,-8,0
-8,-4,-3,-8,-4,-3
-8,0,-10,-8,0,-10
-7,-9,-1,-7,-9,-1
-7,-4,-7,-7,-4,-7
-7,-3,-8,-7,-3,-8
-7,-2,-9,-7,-2,-9
-6,-12,0,-6,-12,0
-6,-1,-10,-6,-1,-10
-6,0,-11,-6,0,-11
-5,-4,-8,-5,-4,-8
-5,-1,-11,-5,-1,-11
-5,0,-13,-5,0,-13
-4,-11,-1,-4,-11,-1
-4,-9,-3,-4,-9,-3
-4,-7,-5,-4,-7,-5
-4,-5,-9,-4,-5,-9
-4,0,-15,-4,0,-15
-3,-14,0,-3,-14,0
-3,-12,-2,-3,-12,-2
-3,-11,-4,-3,-11,-4
-3,-6,-7,-3,-6,-7
-3,-2,-11,-3,-2,-11
-3,0,-17,-3,0,-17
-2,-16,0,-2,-16,0
-2,-15,-1,-2,-15,-1
-2,-13,-3,-2,-13,-3
-2,-8,-5,-2,-8,-5
-2,-7,-6,-2,-7,-6
-2,-6,-8,-2,-6,-8
-2,-2,-12,-2,-2,-12
-2,-1,-13,-2,-1,-13
-1,-17,-1,-1,-17,-1
-1,-15,-2,-1,-15,-2
-1,-13,-4,-1,-13,-4
-1,-12,-6,-1,-12,-6
-1,-11,-7,-1,-11,-7
-1,-9,-9,-1,-9,-9
-1,-4,-12,-1,-4,-12
-1,-1,-14,-1,-1,-14
-1,0,-18,-1,0,-18
0,-18,0,0,-18,0
0,-17,-3,0,-17,-3
0,-16,-4,0,-16,-4
0,-15,-5,0,-15,-5
0,-13,-6,0,-13,-6
0,-11,-8,0,-11,-8
0,-6,-10,0,-6,-10
0,-5,-13,0,-5,-13
0,-2,-16,0,-2,-16
0,-1,-18,0,-1,-18
0,0,-19,0,0,-19
