env,n_objectives,n_actions,n_states,n_unique_states,obs_repeat_ratio,gt_method,frac_goal_active,probes_per_state,score,spearman_flip_fraction,auroc_detect_goal_active,spearman_nearest_flip,mean_I,median_I,basis_n_multi,basis_n_forks,basis_mi_forks,basis_mi_nonfork,elapsed_s
bp,2,4,39,35,0.103,grid,0.821,267,kl,0.7934210042617785,0.9642857142857143,-0.1656891495601173,0.33827685377115996,0.32606156753288784,3,2,0.30869890807848765,0.00035154658458102714,2.5
bp,2,4,39,35,0.103,grid,0.821,267,tv,0.8077415830637384,0.9732142857142857,-0.19391495601173017,0.27415765746638704,0.2971169334513798,3,2,0.30869890807848765,0.00035154658458102714,2.5
bp,2,4,39,35,0.103,grid,0.821,267,js,0.7785926035164866,0.9642857142857143,-0.03922287390029325,0.09793606453687417,0.10257954365328784,3,2,0.30869890807848765,0.00035154658458102714,2.5
bp,2,4,39,35,0.103,grid,0.821,267,flip,0.8164651082758726,0.9375,-0.34565653778339905,0.2999617510874808,0.30278884462151395,3,2,0.30869890807848765,0.00035154658458102714,2.5
dst,2,4,96,21,0.781,grid,0.698,301,kl,0.6715142203940832,0.8142048378795677,-0.3723361800622556,0.3035688619439749,0.1007110686796609,17,10,0.4782450760816633,0.050377993517629505,2.3
dst,2,4,96,21,0.781,grid,0.698,301,tv,0.6395789939989254,0.6644364384971694,-0.42453507861760725,0.21926306925830893,0.14344883743525644,17,10,0.4782450760816633,0.050377993517629505,2.3
dst,2,4,96,21,0.781,grid,0.698,301,js,0.6724575420879462,0.8430262480699948,-0.37592784739404583,0.08181100603018888,0.027741609813443126,17,10,0.4782450760816633,0.050377993517629505,2.3
dst,2,4,96,21,0.781,grid,0.698,301,flip,0.8618751604528337,0.9701492537313433,-0.5010032241354078,0.191731018672859,0.0664451827242525,17,10,0.4782450760816633,0.050377993517629505,2.3
reward_line,2,4,74,31,0.581,grid,0.973,287,kl,0.7420320541132411,0.7569444444444444,-0.08158080905524472,0.7000749136705782,0.5950077904657277,16,12,0.34813555345899694,0.03402600805360807,1.7
reward_line,2,4,74,31,0.581,grid,0.973,287,tv,0.7245876461778901,0.9583333333333334,-0.025210624477458362,0.4449817016960337,0.4699165481298614,16,12,0.34813555345899694,0.03402600805360807,1.7
reward_line,2,4,74,31,0.581,grid,0.973,287,js,0.6431902898644254,0.9444444444444444,0.07151585310952474,0.1758827236561375,0.1683891082084509,16,12,0.34813555345899694,0.03402600805360807,1.7
reward_line,2,4,74,31,0.581,grid,0.973,287,flip,0.9448350069458151,1.0,-0.4633790488858543,0.5544296728860797,0.5132890365448505,16,12,0.34813555345899694,0.03402600805360807,1.7
MC3,3,6,184,148,0.196,grid,1.0,549,kl,0.4211622416115506,nan,-0.6623114309877182,1.4864359926418949,1.0711680100130114,18,8,0.6407502321577575,0.021118733741437516,1792.0
MC3,3,6,184,148,0.196,grid,1.0,549,tv,0.41227135339796167,nan,-0.6563492690441272,0.6462369399510833,0.6393211779217999,18,8,0.6407502321577575,0.021118733741437516,1792.0
MC3,3,6,184,148,0.196,grid,1.0,549,js,0.4028554885780449,nan,-0.6652828800339181,0.3346438682032467,0.29959329571231597,18,8,0.6407502321577575,0.021118733741437516,1792.0
MC3,3,6,184,148,0.196,grid,1.0,549,flip,0.6727243700165678,nan,-0.5677219259984327,0.6411931719296355,0.6143375680580763,18,8,0.6407502321577575,0.021118733741437516,1792.0
bb,3,3,40,12,0.7,grid,0.525,552,kl,0.6883431593348,0.9624060150375939,-0.8144164418926974,0.0536074302791004,0.00024796833034734247,2,0,0.0,0.0,1.1
bb,3,3,40,12,0.7,grid,0.525,552,tv,0.6883431593348,0.9624060150375939,-0.8144164418926974,0.04228182345444427,0.0002480387516012266,2,0,0.0,0.0,1.1
bb,3,3,40,12,0.7,grid,0.525,552,js,0.6883431593348,0.9624060150375939,-0.8144164418926974,0.017197848434204355,8.592270942217351e-05,2,0,0.0,0.0,1.1
bb,3,3,40,12,0.7,grid,0.525,552,flip,0.07888539214963458,0.6428571428571429,-0.7602798458092989,0.042527173913043476,0.0,2,0,0.0,0.0,1.1
