env,n_objectives,reward_ckpt,reward_front,reward_ND,reward_HV,reward_EU,horizon_ckpt,horizon_front,horizon_ND,horizon_HV,horizon_EU
branch-path,2,10,3,3,6,2.495,10,3,3,6,2.495
breakable-bottles-v0,3,10,1,1,5015,13.15,10,1,1,5015,13.15
collect_two,4,10,12,12,0,0.7383,10,12,12,0,0.7383
dst,2,10,10,10,2.29E+04,53.4,10,10,10,2.29E+04,53.4
four-room-v0,3,10,1,1,8,2,10,2,2,5,1.75
fruit-tree-v0,6,10,62,62,1.23E+04,5.058,10,61,61,1.20E+04,5.058
minecart,3,20,22,22,198.8,0.4583,10,22,18,196.4,0.4583
mo-lunar-lander-v3,4,10,29,6,1.33E+11,61.58,10,22,7,1.39E+11,64.95
mo-mountaincar-timespeed-v0,2,10,134,31,7199,-15.96,10,118,27,7238,-15.39
mo-reacher-v5,4,10,2500,2216,4.57E+07,25.43,10,2500,2405,3.26E+07,23.01
resource-gathering-v0,3,10,1,1,1.331,0.6658,10,1,1,1.331,0.6658
reward-line,2,10,11,11,0.45,0.7476,10,11,8,0.43,0.7229
three-tree,3,10,14,14,26.98,2.995,10,14,14,26.98,2.995
walkroom2,2,10,11,11,212,-4.569,10,11,11,212,-4.569
walkroom3,3,10,65,65,6853,-2.125,10,65,65,6857,-2.037
walkroom4,4,10,257,257,1.54E+05,-1.111,10,252,252,1.54E+05,-1.133
walkroom5,5,10,785,785,3.17E+06,-0.7319,10,857,857,3.18E+06,-0.7147
walkroom6,6,10,495,495,9.97E+05,-0.2437,10,535,531,,-0.2429
walkroom7,7,10,1080,1076,,-0.1853,10,1129,1124,9.99E+06,-0.1792
walkroom8,8,10,1841,1819,,-0.1465,10,1917,1888,1.00E+08,-0.1364
walkroom9,9,10,500,500,9.99E+08,-0.1854,10,500,500,1.00E+09,-0.1688
